Domain,Job Role,Summary/Objective,Hard Skills,Soft Skills,Action Verbs,Tailored Title
"DevOps, Automation & Reliability",Platform Engineer,Experienced Platform Engineer with strong background in CI/CD and proven ability to deliver results aligned with business goals.,"CI/CD, Jenkins, GitLab CI, Docker, Kubernetes, Terraform, Monitoring","Automation, Collaboration, Process Orientation, Troubleshooting","Automated, Deployed, Monitored, Streamlined, Integrated","Platform Engineer | DevOps, Automation & Reliability"
"DevOps, Automation & Reliability",Systems Reliability Manager,Experienced Systems Reliability Manager with strong background in Prometheus and proven ability to deliver results aligned with business goals.,"Prometheus, Grafana, SLIs/SLOs, Incident Response, Automation, Distributed Systems","Automation, Collaboration, Process Orientation, Troubleshooting","Automated, Deployed, Monitored, Streamlined, Integrated","Systems Reliability Manager | DevOps, Automation & Reliability"
"DevOps, Automation & Reliability",Infrastructure as Code (IaC) Engineer,Experienced Infrastructure as Code (IaC) Engineer with strong background in CI/CD and proven ability to deliver results aligned with business goals.,"CI/CD, Jenkins, GitLab CI, Docker, Kubernetes, Terraform, Monitoring","Automation, Collaboration, Process Orientation, Troubleshooting","Automated, Deployed, Monitored, Streamlined, Integrated","Infrastructure as Code (IaC) Engineer | DevOps, Automation & Reliability"
"DevOps, Automation & Reliability",Containerization Specialist (Docker / Kubernetes Expert),Experienced Containerization Specialist (Docker / Kubernetes Expert) with strong background in CI/CD and proven ability to deliver results aligned with business goals.,"CI/CD, Jenkins, GitLab CI, Docker, Kubernetes, Terraform, Monitoring","Automation, Collaboration, Process Orientation, Troubleshooting","Automated, Deployed, Monitored, Streamlined, Integrated","Containerization Specialist (Docker / Kubernetes Expert) | DevOps, Automation & Reliability"
Cloud & Infrastructure,Cloud Engineer (AWS / Azure / GCP),Experienced Cloud Engineer (AWS / Azure / GCP) with strong background in AWS and proven ability to deliver results aligned with business goals.,"AWS, Azure, GCP, Terraform, Serverless, IAM, Cloud Networking","Troubleshooting, Operational Excellence, Time Management, Communication","Deployed, Managed, Configured, Optimized, Secured",Cloud Engineer (AWS / Azure / GCP) | Cloud & Infrastructure
Cloud & Infrastructure,Cloud Administrator,Experienced Cloud Administrator with strong background in AWS and proven ability to deliver results aligned with business goals.,"AWS, Azure, GCP, Terraform, Linux, Networking, Virtualization, IAM","Troubleshooting, Operational Excellence, Time Management, Communication","Deployed, Managed, Configured, Optimized, Secured",Cloud Administrator | Cloud & Infrastructure
Cloud & Infrastructure,Cloud Operations Engineer,Experienced Cloud Operations Engineer with strong background in AWS and proven ability to deliver results aligned with business goals.,"AWS, Azure, GCP, Terraform, Serverless, IAM, Cloud Networking","Troubleshooting, Operational Excellence, Time Management, Communication","Deployed, Managed, Configured, Optimized, Secured",Cloud Operations Engineer | Cloud & Infrastructure
Cloud & Infrastructure,Cloud Support Associate,Experienced Cloud Support Associate with strong background in AWS and proven ability to deliver results aligned with business goals.,"AWS, Azure, GCP, Terraform, Linux, Networking, Virtualization, IAM","Troubleshooting, Operational Excellence, Time Management, Communication","Deployed, Managed, Configured, Optimized, Secured",Cloud Support Associate | Cloud & Infrastructure
Cloud & Infrastructure,Virtualization Engineer (VMware / Hyper-V),Experienced Virtualization Engineer (VMware / Hyper-V) with strong background in VMware and proven ability to deliver results aligned with business goals.,"VMware, Hyper-V, vSphere, SAN, Storage, Virtualization Troubleshooting","Troubleshooting, Operational Excellence, Time Management, Communication","Deployed, Managed, Configured, Optimized, Secured",Virtualization Engineer (VMware / Hyper-V) | Cloud & Infrastructure
Cloud & Infrastructure,Systems Administrator,Experienced Systems Administrator with strong background in AWS and proven ability to deliver results aligned with business goals.,"AWS, Azure, GCP, Terraform, Linux, Networking, Virtualization, IAM","Troubleshooting, Operational Excellence, Time Management, Communication","Deployed, Managed, Configured, Optimized, Secured",Systems Administrator | Cloud & Infrastructure
Cloud & Infrastructure,Systems Engineer,Experienced Systems Engineer with strong background in AWS and proven ability to deliver results aligned with business goals.,"AWS, Azure, GCP, Terraform, Linux, Networking, Virtualization, IAM","Troubleshooting, Operational Excellence, Time Management, Communication","Deployed, Managed, Configured, Optimized, Secured",Systems Engineer | Cloud & Infrastructure
Cloud & Infrastructure,Network Engineer,Experienced Network Engineer with strong background in TCP/IP and proven ability to deliver results aligned with business goals.,"TCP/IP, BGP, OSPF, Cisco IOS, Switching, Routing, Network Monitoring","Troubleshooting, Operational Excellence, Time Management, Communication","Deployed, Managed, Configured, Optimized, Secured",Network Engineer | Cloud & Infrastructure
Cloud & Infrastructure,Network Administrator,Experienced Network Administrator with strong background in TCP/IP and proven ability to deliver results aligned with business goals.,"TCP/IP, BGP, OSPF, Cisco IOS, Switching, Routing, Network Monitoring","Troubleshooting, Operational Excellence, Time Management, Communication","Deployed, Managed, Configured, Optimized, Secured",Network Administrator | Cloud & Infrastructure
Cloud & Infrastructure,Network Operations Center (NOC) Engineer,Experienced Network Operations Center (NOC) Engineer with strong background in TCP/IP and proven ability to deliver results aligned with business goals.,"TCP/IP, BGP, OSPF, Cisco IOS, Switching, Routing, Network Monitoring","Troubleshooting, Operational Excellence, Time Management, Communication","Deployed, Managed, Configured, Optimized, Secured",Network Operations Center (NOC) Engineer | Cloud & Infrastructure
Cloud & Infrastructure,Storage Administrator,Experienced Storage Administrator with strong background in SAN and proven ability to deliver results aligned with business goals.,"SAN, NAS, Backup Strategies, Replication, Data Protection, DR Planning","Troubleshooting, Operational Excellence, Time Management, Communication","Deployed, Managed, Configured, Optimized, Secured",Storage Administrator | Cloud & Infrastructure
Cloud & Infrastructure,Backup & Recovery Specialist,Experienced Backup & Recovery Specialist with strong background in SAN and proven ability to deliver results aligned with business goals.,"SAN, NAS, Backup Strategies, Replication, Data Protection, DR Planning","Troubleshooting, Operational Excellence, Time Management, Communication","Deployed, Managed, Configured, Optimized, Secured",Backup & Recovery Specialist | Cloud & Infrastructure
Cloud & Infrastructure,Linux / Windows Administrator,Experienced Linux / Windows Administrator with strong background in AWS and proven ability to deliver results aligned with business goals.,"AWS, Azure, GCP, Terraform, Linux, Networking, Virtualization, IAM","Troubleshooting, Operational Excellence, Time Management, Communication","Deployed, Managed, Configured, Optimized, Secured",Linux / Windows Administrator | Cloud & Infrastructure
Cloud & Infrastructure,IT Infrastructure Manager,Experienced IT Infrastructure Manager with strong background in AWS and proven ability to deliver results aligned with business goals.,"AWS, Azure, GCP, Terraform, Linux, Networking, Virtualization, IAM","Troubleshooting, Operational Excellence, Time Management, Communication","Deployed, Managed, Configured, Optimized, Secured",IT Infrastructure Manager | Cloud & Infrastructure
Cloud & Infrastructure,IT Operations Manager,Experienced IT Operations Manager with strong background in AWS and proven ability to deliver results aligned with business goals.,"AWS, Azure, GCP, Terraform, Linux, Networking, Virtualization, IAM","Troubleshooting, Operational Excellence, Time Management, Communication","Deployed, Managed, Configured, Optimized, Secured",IT Operations Manager | Cloud & Infrastructure
Cybersecurity & Risk,Cybersecurity Analyst,Experienced Cybersecurity Analyst with strong background in SIEM and proven ability to deliver results aligned with business goals.,"SIEM, IDS/IPS, Penetration Testing, Vulnerability Assessment, IAM, Encryption","Attention to Detail, Integrity, Analytical Thinking, Crisis Management","Monitored, Tested, Hardened, Mitigated, Responded",Cybersecurity Analyst | Cybersecurity & Risk
Cybersecurity & Risk,Information Security Engineer,Experienced Information Security Engineer with strong background in Penetration Testing and proven ability to deliver results aligned with business goals.,"Penetration Testing, Burp Suite, Metasploit, YARA, Reverse Engineering, SIEM","Attention to Detail, Integrity, Analytical Thinking, Crisis Management","Monitored, Tested, Hardened, Mitigated, Responded",Information Security Engineer | Cybersecurity & Risk
Cybersecurity & Risk,Security Operations Center (SOC) Analyst,Experienced Security Operations Center (SOC) Analyst with strong background in Penetration Testing and proven ability to deliver results aligned with business goals.,"Penetration Testing, Burp Suite, Metasploit, YARA, Reverse Engineering, SIEM","Attention to Detail, Integrity, Analytical Thinking, Crisis Management","Monitored, Tested, Hardened, Mitigated, Responded",Security Operations Center (SOC) Analyst | Cybersecurity & Risk
Cybersecurity & Risk,Threat Intelligence Analyst,Experienced Threat Intelligence Analyst with strong background in SIEM and proven ability to deliver results aligned with business goals.,"SIEM, IDS/IPS, Penetration Testing, Vulnerability Assessment, IAM, Encryption","Attention to Detail, Integrity, Analytical Thinking, Crisis Management","Monitored, Tested, Hardened, Mitigated, Responded",Threat Intelligence Analyst | Cybersecurity & Risk
Cybersecurity & Risk,Penetration Tester / Ethical Hacker,Experienced Penetration Tester / Ethical Hacker with strong background in Penetration Testing and proven ability to deliver results aligned with business goals.,"Penetration Testing, Burp Suite, Metasploit, YARA, Reverse Engineering, SIEM","Attention to Detail, Integrity, Analytical Thinking, Crisis Management","Monitored, Tested, Hardened, Mitigated, Responded",Penetration Tester / Ethical Hacker | Cybersecurity & Risk
Cybersecurity & Risk,Security Researcher,Experienced Security Researcher with strong background in Penetration Testing and proven ability to deliver results aligned with business goals.,"Penetration Testing, Burp Suite, Metasploit, YARA, Reverse Engineering, SIEM","Attention to Detail, Integrity, Analytical Thinking, Crisis Management","Monitored, Tested, Hardened, Mitigated, Responded",Security Researcher | Cybersecurity & Risk
Cybersecurity & Risk,Incident Response Engineer,Experienced Incident Response Engineer with strong background in SIEM and proven ability to deliver results aligned with business goals.,"SIEM, IDS/IPS, Penetration Testing, Vulnerability Assessment, IAM, Encryption","Attention to Detail, Integrity, Analytical Thinking, Crisis Management","Monitored, Tested, Hardened, Mitigated, Responded",Incident Response Engineer | Cybersecurity & Risk
Cybersecurity & Risk,Malware Analyst,Experienced Malware Analyst with strong background in Penetration Testing and proven ability to deliver results aligned with business goals.,"Penetration Testing, Burp Suite, Metasploit, YARA, Reverse Engineering, SIEM","Attention to Detail, Integrity, Analytical Thinking, Crisis Management","Monitored, Tested, Hardened, Mitigated, Responded",Malware Analyst | Cybersecurity & Risk
Cybersecurity & Risk,Forensic Analyst,Experienced Forensic Analyst with strong background in SIEM and proven ability to deliver results aligned with business goals.,"SIEM, IDS/IPS, Penetration Testing, Vulnerability Assessment, IAM, Encryption","Attention to Detail, Integrity, Analytical Thinking, Crisis Management","Monitored, Tested, Hardened, Mitigated, Responded",Forensic Analyst | Cybersecurity & Risk
Cybersecurity & Risk,Security Compliance Officer,Experienced Security Compliance Officer with strong background in Penetration Testing and proven ability to deliver results aligned with business goals.,"Penetration Testing, Burp Suite, Metasploit, YARA, Reverse Engineering, SIEM","Attention to Detail, Integrity, Analytical Thinking, Crisis Management","Monitored, Tested, Hardened, Mitigated, Responded",Security Compliance Officer | Cybersecurity & Risk
Cybersecurity & Risk,"Governance, Risk & Compliance (GRC) Specialist","Experienced Governance, Risk & Compliance (GRC) Specialist with strong background in SIEM and proven ability to deliver results aligned with business goals.","SIEM, IDS/IPS, Penetration Testing, Vulnerability Assessment, IAM, Encryption","Attention to Detail, Integrity, Analytical Thinking, Crisis Management","Monitored, Tested, Hardened, Mitigated, Responded","Governance, Risk & Compliance (GRC) Specialist | Cybersecurity & Risk"
Cybersecurity & Risk,Application Security Engineer,Experienced Application Security Engineer with strong background in Penetration Testing and proven ability to deliver results aligned with business goals.,"Penetration Testing, Burp Suite, Metasploit, YARA, Reverse Engineering, SIEM","Attention to Detail, Integrity, Analytical Thinking, Crisis Management","Monitored, Tested, Hardened, Mitigated, Responded",Application Security Engineer | Cybersecurity & Risk
Cybersecurity & Risk,Network Security Engineer,Experienced Network Security Engineer with strong background in TCP/IP and proven ability to deliver results aligned with business goals.,"TCP/IP, BGP, OSPF, Cisco IOS, Switching, Routing, Network Monitoring","Attention to Detail, Integrity, Analytical Thinking, Crisis Management","Monitored, Tested, Hardened, Mitigated, Responded",Network Security Engineer | Cybersecurity & Risk
Cybersecurity & Risk,Cloud Security Engineer,Experienced Cloud Security Engineer with strong background in AWS and proven ability to deliver results aligned with business goals.,"AWS, Azure, GCP, Terraform, Serverless, IAM, Cloud Networking","Attention to Detail, Integrity, Analytical Thinking, Crisis Management","Monitored, Tested, Hardened, Mitigated, Responded",Cloud Security Engineer | Cybersecurity & Risk
Cybersecurity & Risk,Identity & Access Management (IAM) Specialist,Experienced Identity & Access Management (IAM) Specialist with strong background in SIEM and proven ability to deliver results aligned with business goals.,"SIEM, IDS/IPS, Penetration Testing, Vulnerability Assessment, IAM, Encryption","Attention to Detail, Integrity, Analytical Thinking, Crisis Management","Monitored, Tested, Hardened, Mitigated, Responded",Identity & Access Management (IAM) Specialist | Cybersecurity & Risk
